Window,daves name,circadian,color,frame,occupant,treatment,objects,signage,notable,special
window-35,window-0847,asleep,black,double-hung,none,none,sign|poster|signage,andersen nyc,a newly installed empty window plastered with nyc permit notices and an andersen sticker.,no
window-36,window-0381,awake,amber,double-hung,none,sheer curtains,lamp|plants,none,a glowing bare bulb behind sheer curtains silhouettes plant fronds in warm amber light.,no
window-37,window-0690,awake,brown,paned grid,none,frosted glass,bottle,none,heavy condensation on frosted panes obscures backlit bottle silhouettes lining the sill.,no
window-38,window-0450,awake,green,double-hung,none,roller shade,plants,none,"a plant silhouetted against an intense, saturated green glow fills the lower pane.",no
window-39,window-0374,awake,orange,other,none,none,lamp|plants|poster,none,a glowing amber window with a red snake-and-dagger graphic looming over silhouetted plants.,no
window-40,window-0342,awake,black,paned grid,none,none,none,none,a mostly dark arched paned door with a warm amber glow seeping through the lower panes.,no
window-41,window-0900,awake,orange,double-hung,ghoul,none,plants|holiday decoration|figurine,none,a hanging ghost decoration silhouetted against a glowing orange interior gives a playful halloween mood.,no
window-42,window-0402,awake,gray,paned grid,none,none,plants,none,rows of pale terracotta pots line metal wire shelves behind a gridded window.,no
window-43,window-0401,asleep,black,double-hung,none,curtains,bottle,none,a mostly dark window with a glowing red curtain revealing a water bottle on the sill.,no
window-44,window-0455,awake,orange,storefront,none,none,neon sign|plants|signage,happy new year,"a glowing orange ""happy new year"" neon dominates the storefront beside a blue led sign strip.",no
window-45,window-0614,awake,brown,double-hung,none,venetian blinds,ceiling fixture,none,small silhouetted figurines line the sill beneath warm light filtered through partly drawn blinds.,no
window-46,window-0856,awake,red,paned grid,none,curtains,none,none,"glowing red and orange curtains fill a dark-framed paned window with an intense, almost ominous warmth.",no
window-47,window-0859,awake,green,paned grid,none,frosted glass,none,none,a four-pane window glowing in eerie frosted green and teal with no visible interior.,no
window-48,window-0978,awake,amber,double-hung,none,frosted glass,vase|flowers|plants,none,"a silhouetted vase of dried plants sits behind a frosted, condensation-streaked pane glowing amber.",no
window-49,window-0012,awake,brown,double-hung,none,curtains,poster,none,"a makeshift fabric curtain with grommets hangs behind a barred lower sash, glowing warm amber.",no
window-50,window-0386,awake,amber,double-hung,none,roller shade,plants|signage,warning,a diagonal warning tape crosses the lower pane above a potted plant in warm amber light.,no
window-51,window-0771,asleep,brown,double-hung,none,none,sign|poster|signage,curtis sliwa for nyc mayor sliwafornyc.com golden express 212-966-8433,"a red ""golden express"" business sign sits below a dark window bearing a curtis sliwa campaign poster.",no
window-52,window-0027,asleep,black,double-hung,none,security,sign|signage,security cameras in use,"a dark, vacant double-hung window guarded by metal bars and a 'security cameras in use' sign.",no
window-53,window-0814,awake,white,other,none,frosted glass,sign|poster|signage,259 canal st. 212-475-0588,a backlit signboard featuring white orchids and stacked zen stones with the address 259 canal st.,no
window-54,window-0218,awake,orange,arched,none,security,plants,none,an orange-glowing window behind security bars with decorative heart-shaped iron scrollwork and a silhouetted plant.,no
window-55,window-0024,awake,green,double-hung,none,none,plants,none,lush green foliage glows in the lit upper sash above a darkened lower pane.,no
window-56,window-0414,awake,amber,double-hung,none,curtains,chandelier,none,an ornate wrought-iron chandelier silhouetted against a glowing amber interior with a doorway beyond.,no
window-57,window-0194,awake,amber,double-hung,none,venetian blinds,string lights,none,warm amber blinds glow above a sill twinkling with colored string lights.,no
window-58,window-0065,awake,amber,other,none,none,plants|framed art,none,silhouetted zz plants rise dramatically against a glowing amber interior wall.,no
window-59,window-0916,awake,amber,double-hung,none,roller shade,plants,none,silhouetted potted plants line the sill against a warm amber glow.,no
window-60,window-0183,awake,amber,double-hung,none,curtains,flowers|plants,none,warm amber light glows through leaf-patterned curtains in a green double-hung frame.,no
window-61,window-0128,awake,amber,double-hung,none,frosted glass,bottle,none,"frosted glass reduces backlit objects to ghostly silhouettes, one glowing green, against a warm amber haze.",no
window-62,window-0735,awake,amber,double-hung,none,none,plants,none,silhouetted dried branches and glass orbs glow against a warm amber backlit interior.,no
window-63,window-0200,awake,orange,double-hung,none,curtains,framed art,none,an intensely orange-glowing window divided into panes with a curtain drawn to one side.,no
window-64,window-0427,awake,orange,double-hung,none,sheer curtains,furniture,none,sheer curtains glow with a vivid sunset-orange and pink gradient behind a classic double-hung frame.,no
window-65,window-0791,awake,orange,double-hung,none,curtains,lamp|furniture,none,a warm orange-lit room glows behind a draped curtain with a lamp and ornate furniture below.,no
window-66,window-0029,asleep,black,double-hung,none,curtains,none,none,a dark double-hung window with pale shapes pressed against the lower pane behind curtains.,no
window-67,window-0784,asleep,black,double-hung,none,curtains,plants|flowers,none,a cluster of green potted plants with a single pale bloom sits on the sill beside a partly drawn curtain.,no
window-68,window-0897,awake,pink,double-hung,none,none,bonsai|plants,none,a bonsai tree glows beneath a moody pink-purple light behind the lower pane.,yes
window-69,window-0973,awake,red,storefront,none,none,neon sign|books|signage,bookmarc,the word bookmarc repeated in rainbow neon rows fills the storefront window.,no
window-70,window-0917,awake,amber,double-hung,none,none,lamp|air conditioner,none,a glowing amber window with a silhouetted lamp and a window-mounted air conditioner.,no
window-71,window-0778,asleep,white,other,none,none,sign|signage,磁器晶飾 古玉水金 工艺精品 古董,hand-painted blue chinese-character signs advertising antiques fill a dim shop window.,no
window-72,window-0255,awake,brown,arched,none,none,none,none,an arched dark frame reveals a warmly lit interior cluttered with indistinct objects and flashes of red and green.,no
window-73,window-0039,asleep,green,double-hung,none,curtains,none,none,a dark window with patterned green curtains barely catching faint interior light.,no
window-74,window-0587,awake,gray,double-hung,none,security,ceiling fixture,none,a bare cool-toned interior glows behind vertical security bars and a frosted double-hung window.,no
window-75,window-0397,awake,amber,casement,none,none,chandelier,none,a glowing crystal chandelier hangs alone in an amber-lit window.,no
window-76,window-0782,awake,pink,other,none,none,poster|sign|signage|spa,vitality beauty center tel: 646-645-6356,an illuminated spa advertisement poster for a beauty center fills the entire window.,no
window-77,window-0070,awake,purple,double-hung,none,sheer curtains,none,none,a purple-bathed interior glows behind sheer curtains with shadowy silhouetted objects along the sill.,no
window-78,window-0066,awake,amber,double-hung,none,pleated shade,plants|framed art,none,a spiky plant silhouette stands dramatically against a glowing amber interior.,no
window-79,window-0239,awake,black,double-hung,none,security,none,none,"a heavy diamond-mesh security screen covers the entire window, with warm amber light filtering through.",no
window-80,window-0316,awake,amber,double-hung,none,venetian blinds,none,none,warm amber light glows through venetian blinds in a softly lit double-hung window.,no
window-81,window-0662,awake,amber,double-hung,none,venetian blinds,plants|string lights|holiday decoration,none,a glowing string-lit wreath hangs in the lower pane below half-drawn venetian blinds.,no
window-82,window-0579,asleep,brown,double-hung,none,none,none,none,murky red and orange forms behind the dark glass suggest an obscured painting or shadowy interior scene.,no
window-83,window-0634,awake,red,double-hung,none,roller shade,none,none,a deep red glowing shade fills the upper sash while the lower sash sits dark behind vertical muntins.,no
window-84,window-0711,awake,amber,paned grid,none,none,none,none,a tall paned door glows warm amber behind a decorative wrought-iron scrollwork grille.,no
window-85,window-0498,awake,amber,double-hung,none,none,plants,none,"silhouetted plants fill a warmly glowing window, their fronds reaching against the amber interior light.",no
window-86,window-0010,awake,red,double-hung,none,curtains,none,none,a deep red glow behind drawn curtains fills a stark black-framed double-hung window.,no
window-87,window-0412,awake,brown,double-hung,none,roller shade,plants|flowers|vase,none,potted plants and flowers line the sill below a half-drawn roller shade in warm light.,no
window-88,window-0764,awake,green,double-hung,none,curtains,books,none,"a stack of books sits behind frosted glass above yellow curtains, giving a muted, layered glow.",no
window-89,window-0198,awake,orange,double-hung,none,curtains,none,none,glowing orange-to-red curtains fill a black double-hung frame like flames behind glass.,no
window-90,window-0278,awake,amber,double-hung,none,curtains,lamp,none,a warm amber glow silhouettes a table lamp and gathered curtain behind the double-hung glass.,no
window-91,window-0756,awake,amber,double-hung,none,sheer curtains,none,none,sheer curtains glowing softly amber within a brick-framed double-hung window.,no
window-92,window-0955,awake,orange,double-hung,none,roller shade,lamp|books|figurine,none,a small buddha figurine sits silhouetted among stacked books against a glowing amber roller shade.,no
window-93,window-0935,awake,orange,double-hung,none,none,plants|flowers,none,a dried flower bundle hangs from a hook against a glowing amber-orange interior.,no
window-94,window-0081,awake,gray,other,none,frosted glass|stained glass,none,none,a stained glass panel depicting trailing leaves and vines glows softly behind the dark window frame.,no
window-95,window-0942,awake,black,other,none,none,neon sign|sign|signage,tarot palm,a glowing red neon sign reading tarot palm frames an illustrated palmistry hand.,no
window-96,window-0184,awake,amber,paned grid,none,sheer curtains,lamp|air conditioner,none,a glowing lamp behind sheer curtains warms the room above a window air conditioner unit.,no
window-97,window-0324,awake,yellow,double-hung,none,none,none,none,a green desk globe sits on the sill against an empty warm-lit interior.,no
window-98,window-0939,awake,amber,paned grid,none,none,plants|vase,none,two dark ceramic urns flank a leafy plant on the sill of a warmly lit eight-pane window.,no
window-99,window-0754,awake,magenta,other,none,security,air conditioner|grow light|plants,none,an intense magenta grow-light glow floods a barred window crammed with plants behind ornate ironwork.,no
window-100,window-0729,awake,green,double-hung,none,frosted glass,bottle,none,silhouettes of pump bottles line the sill behind textured frosted glass glowing dim green.,no
window-101,window-0182,awake,orange,double-hung,none,none,plants|framed art,none,a glowing amber-orange interior silhouettes a large monstera leaf and shadowy plant forms against the warm light.,no
window-102,window-0300,awake,amber,double-hung,none,roller shade,figurine,none,a row of little cat figurines lined up on the sill against a warm amber glow.,no
window-103,window-0908,asleep,brown,double-hung,none,roller shade,flag,none,an american flag tapestry fills the window behind a peeling cream-painted double-hung frame.,yes
window-104,window-0142,awake,pink,paned grid,none,lace curtains,none,none,lace curtains topped with a draped garland diffuse a soft pinkish interior glow.,no
window-105,window-0022,awake,amber,storefront,none,none,sign|string lights|signage,monk,"a vintage boutique window glowing amber under an oval ""monk"" sign with costumed mannequins.",no
window-106,window-0793,asleep,green,other,none,roller shade,string lights|holiday decoration|figurine,none,a christmas window framed in green garland with santa and elf figurines and dangling icicle string lights.,no
window-107,window-0830,awake,amber,paned grid,none,stained glass,religious item,none,an ornate stained glass window with a central religious medallion glowing amber and gold.,no
window-108,window-0683,awake,white,double-hung,none,frosted glass,none,none,a dark-framed window with frosted panels revealing a faint silhouette of an interior stair railing and newel post.,no
window-109,window-0903,awake,amber,double-hung,none,frosted glass,none,none,"a frosted, amber-glowing pane with dark blurred shapes silhouetted along the lower sash.",no
window-110,window-0728,awake,amber,paned grid,none,none,ceiling fixture,none,a red ladder leans inside an empty amber-glowing room behind a paned window.,no
window-111,window-0777,awake,amber,double-hung,ghoul,curtains,holiday decoration,none,"a glowing jack-o-lantern sits on the sill in warm amber light, marking a halloween window.",no
window-112,window-0069,awake,orange,arched,none,none,chandelier,none,a glowing chandelier hangs within a tall arched window framed by a dark balustrade.,no
window-113,window-0590,awake,amber,double-hung,cat,roller shade,none,none,a cat's silhouette peers down against the warm amber glow of a partially shaded window.,no
window-114,window-0894,awake,brown,double-hung,none,curtains,poster|sign|books|signage,i ❤ ny ice off our streets!,"handmade protest signs reading ""ice off our streets!"" and ""i ❤ ny"" face the street.",no
window-115,window-0454,awake,black,storefront,none,none,neon sign|sign|signage,jewelry,"a blue neon diamond and gold ""jewelry"" sign glow above a dim display of hanging necklaces.",no
window-116,window-0393,awake,amber,double-hung,none,roller shade,plants,none,a warm amber roller-shaded window with a leafy plant and a dark monitor on the sill.,no
window-117,window-0727,awake,amber,other,none,frosted glass,bottle|jar,none,frosted amber glass diffuses warm light behind a row of silhouetted bottles on the sill.,no
window-118,window-0803,awake,green,paned grid,none,curtains,plants,none,lush green vines frame the window with an eerie green glow at the base and warm amber light within.,no
window-119,window-0697,awake,amber,double-hung,none,venetian blinds,furniture,none,warm amber light glows through venetian blinds with a sliver of room visible below.,no
window-120,window-0044,awake,black,storefront,none,none,neon sign|signage,flowery,"a colorful neon ""flowery"" sign with glowing flowers floats in a dark storefront window.",no
window-121,window-0923,awake,amber,double-hung,none,roller shade,lamp|plants|bottle,none,a cat-shaped silhouette sits among backlit plants in a glowing amber three-pane window.,yes
window-122,window-0453,awake,blue,double-hung,none,frosted glass,plants,none,frosted glass casts a cool blue glow over silhouetted plants framed by a warm brick facade.,no
window-123,window-0818,awake,brown,double-hung,none,security,poster|signage|spa,body work,"stacked spa massage posters fill the window behind security bars, advertising body work.",no
window-124,window-0456,awake,amber,other,none,venetian blinds,sign|signage,针灸 痛症 妇科 646-354-8828,red chinese acupuncture clinic lettering glows over warm venetian blinds.,no
window-125,window-0792,awake,black,double-hung,none,venetian blinds,plants,none,a dark upper pane with reflections sits above a dim blue-lit lower pane behind venetian blinds.,no
window-126,window-0666,asleep,brown,double-hung,none,curtains,none,none,a dim double-hung window draped in warm brown curtains glowing softly against deep shadow.,no
window-127,window-0148,asleep,black,double-hung,none,venetian blinds,holiday decoration,none,a glittering red leaping-reindeer decal surrounded by white snowflakes glows against the dark window.,no
window-128,window-0352,awake,orange,double-hung,none,security,none,none,a fiery orange glow behind vertical security bars makes the window read like a glowing furnace.,no
window-129,window-0506,awake,amber,double-hung,none,sheer curtains,plants|ceiling fixture,none,a glowing ceiling light shines through sheer curtains above a sill lined with potted plants.,no
window-130,window-0189,awake,amber,double-hung,none,curtains,string lights,none,warm amber light glows through striped curtains topped by a row of tiny string lights.,no
window-131,window-0467,awake,black,double-hung,none,none,sign|bottle|signage,it's never too l8,an '8-ball' sign reading 'it's never too l8' dominates the upper pane.,yes
window-132,window-0433,awake,brown,paned grid,none,none,flowers|plants,none,a silhouetted bouquet sits before a dim interior cabinet glimpsed through a paned window.,no
window-133,window-0595,awake,orange,paned grid,ghoul,none,holiday decoration|poster,none,"a spooky halloween display with a dark wreath, skeleton legs, and skull posters glowing against vivid orange light.",no
window-134,window-0887,awake,black,paned grid,none,none,lamp|neon sign|signage,time tide,a glowing amber neon 'time tide' sign anchors a dark arched-top window.,no
window-135,window-0603,awake,amber,double-hung,none,curtains,bottle,none,a row of plastic bottles silhouetted on the sill against a warm amber glow.,no
window-136,window-0221,awake,amber,double-hung,none,curtains,air conditioner,none,floral-patterned curtains glow warm amber above a window-mounted air conditioner.,no
window-137,window-0476,awake,green,paned grid,none,none,none,none,a vivid green and orange glowing orb floats behind a dark paned-grid window.,no
window-138,window-0787,awake,amber,double-hung,none,venetian blinds,lamp|plants,none,a glowing lamp behind a potted plant casts a warm amber haze through the partly-blinded window.,no
window-139,window-0134,awake,brown,double-hung,none,none,bottle|plants,none,a row of colorful glass bottles silhouetted on the sill above a shadowy potted plant.,no
window-140,window-0665,awake,orange,double-hung,none,security,none,none,an ornate scrollwork iron grille silhouetted against a glowing amber-orange interior.,no
window-141,window-0696,awake,blue,double-hung,none,security,string lights,none,a cascade of blue curtain string lights fills the barred window with an icy festive glow.,no
window-142,window-0493,asleep,brown,casement,none,none,figurine,none,"a vivid red and gold horse decoration glows against an otherwise dark, dim window.",no
window-143,window-0944,awake,orange,casement,none,security,glassware,none,a glowing red light source sits below shelves bathing the barred window in fiery orange and red.,no
window-144,window-0097,awake,orange,double-hung,ghoul,none,plants|neon sign|signage,none,a glowing white ghost-shaped neon sits below a silhouetted hanging plant against a warm amber interior.,no
window-145,window-0004,awake,white,double-hung,none,roller shade,none,none,a double-hung window covered with a blue floral patterned shade in a dark wood frame.,yes
window-146,window-0836,awake,amber,double-hung,none,roller shade,plants,none,silhouetted houseplants press against the glass below a glowing amber roller shade.,no
window-147,window-0982,awake,amber,double-hung,none,none,plants,none,a cascading hanging plant silhouetted against a warm amber glow above a brighter lit shelf of greenery.,no
window-148,window-0840,awake,amber,double-hung,none,none,air conditioner,none,a warm amber-glowing window with a window air conditioner unit dominating the lower pane.,no
window-149,window-0391,awake,amber,double-hung,none,sheer curtains,lamp|air conditioner,none,a glowing lampshade casts a warm amber glow filling the entire double-hung window.,no
window-150,window-0644,awake,amber,paned grid,none,security,none,none,"a grid of vertical bars glows amber-gold, casting an enigmatic warm light through the barred frame.",no
window-151,window-0774,awake,blue,other,none,none,neon sign|sign|poster|signage|spa,fu ji health spa,a backlit spa poster sits above a neon foot sign glowing blue and pink.,no
window-152,window-0086,awake,gold,arched,none,stained glass,religious item,none,a stained glass window depicting a robed saint with a halo holding a staff.,no
window-153,window-0186,awake,amber,double-hung,none,sheer curtains,plants,none,a silhouetted hanging plant cascades against a glowing amber interior.,no
window-154,window-0649,awake,amber,paned grid,none,lace curtains,lamp|ceiling fixture|flowers|vase|plants,none,a tall paned window glows amber behind lace curtains with a silhouetted bouquet on the sill.,no
window-155,window-0133,awake,brown,paned grid,none,sheer curtains,mirror|plants,none,a silhouetted christmas tree sits behind sheer gathered curtains beside an ornate round mirror.,no
window-156,window-0400,awake,amber,paned grid,none,none,plants|fan|framed art,none,"a warm amber-glowing window silhouettes plants, a cactus, and a green fan against the light.",no
window-157,window-0798,awake,brown,double-hung,none,venetian blinds,sign|signage,psychic readings,"an oval maroon ""psychic readings"" sign hangs over candles in a dim window.",no
window-158,window-0723,asleep,brown,double-hung,none,roller shade,books,none,books line the lower sill behind a dark double-hung window with a partly drawn shade above.,no
window-159,window-0304,awake,amber,double-hung,none,pleated shade,none,none,"a diagonal shadow slices across the warm glowing pleated shade, suggesting an unseen presence.",no
window-160,window-0790,awake,brown,double-hung,none,venetian blinds,bottle|glassware|jar,none,a dim cluttered interior with bottles and glassware on a shelf above a basket and jars.,no
window-161,window-0079,awake,gray,double-hung,none,curtains,plants,none,silhouetted plants and hanging baskets cluster behind a half-drawn pale curtain in a dim window.,no
window-162,window-0685,awake,amber,double-hung,none,none,plants,none,silhouetted plants and a dangling beaded ornament glow against a warm amber backlit shade.,no
window-163,window-0088,awake,white,storefront,none,none,sign|ceiling fixture|signage,si dental c,a large white tooth model hangs in a dental office window beneath illuminated signage.,no
window-164,window-0998,asleep,blue,other,none,abandoned,sign|poster|signage,new york city basketball,"a blue panel repeating ""new york city basketball"" in orange lettering within a gold frame.",yes
window-165,window-0038,asleep,brown,double-hung,none,none,plants,none,"a weathered red-and-green painted frame surrounds a dim, near-empty interior with a single small plant on the sill.",no
window-166,window-0147,awake,brown,double-hung,none,sheer curtains,none,none,sheer curtains glow warmly with a sliver of amber light splitting the gap down the center.,no
window-167,window-0113,awake,amber,paned grid,none,security,lamp|plants|bottle,none,a glowing pendant lamp and red drapery seen through ornate security bars above a dark tangle of foliage.,no
window-168,window-0663,awake,brown,double-hung,none,none,plants,none,silhouetted spiky potted plants stand against a soft amber-lit shade behind a dark double-hung window.,no
window-169,window-0873,asleep,green,casement,cat,curtains,none,none,a black cat sits silhouetted against a deep green curtain in a darkened window.,no
window-170,window-0801,asleep,white,double-hung,none,frosted glass,sign|signage,manhattan podiatry,frosted door with red footprint decals advertising a manhattan podiatry office.,no
window-171,window-0513,awake,red,other,ghoul,none,holiday decoration,none,"a spooky hanging figure backlit by an ominous red glow, evoking a halloween display.",no
window-172,window-1000,awake,magenta,other,none,curtains|security,plants,none,a glowing magenta disco ball dominates a darkened window above iron security bars.,yes
window-173,window-0558,awake,amber,double-hung,none,roller shade,none,none,"a glowing amber window with a six-pane upper sash, evenly lit like a softly illuminated lightbox.",no
window-174,window-0041,asleep,brown,double-hung,none,curtains,none,none,a dim brown double-hung window with a pale unidentifiable object resting on the inner sill.,no
window-175,window-0661,awake,amber,double-hung,none,venetian blinds,plants|string lights,none,partially raised blinds reveal plants wrapped in warm string lights against an amber glow.,no
window-176,window-0219,asleep,gray,double-hung,none,venetian blinds|security,sign|signage,"s.a. rosenthal, m.d.
urology
718-821-3700",a urologist's office window behind decorative ironwork bars with a backlit business sign.,no
window-177,window-0468,asleep,black,double-hung,none,none,sign|signage,on air,"an illuminated ""on air"" sign glows in a dim radio studio window with a microphone visible below.",no
window-178,window-0032,awake,amber,paned grid,none,lace curtains,plants,none,"ornate lace curtains glow amber, with a hanging plant silhouetted against the warm interior light.",no
window-179,window-0583,awake,amber,double-hung,none,sheer curtains,none,none,sheer curtains drawn across a double-hung window glow with a rich amber warmth.,no
window-180,window-0078,awake,purple,other,none,none,neon sign|signage,69,"a glowing pink neon ""69"" floats alone in an otherwise pitch-black frame.",yes
window-181,window-0204,awake,amber,paned grid,none,none,plants,none,silhouetted hanging plants against a glowing amber backdrop create a dramatic shadow garden.,no
window-182,window-0555,awake,amber,other,none,roller shade,none,none,"a warm amber glow behind a half-drawn roller shade, with two dark rectangular objects on the sill.",no
window-183,window-0369,asleep,black,storefront,none,security,poster|sign|signage,who is she?,a dark security gate covered in graffiti tags and a dense collage of stickers and posters.,no
window-184,window-0700,awake,amber,double-hung,none,sheer curtains,lamp|plants|vase,none,a glowing table lamp silhouettes a tall potted plant against sheer curtains in warm amber light.,no
window-185,window-0825,awake,orange,double-hung,none,none,plants|grow light,none,a silhouetted hanging plant droops over a warm amber interior with a purple grow light below.,no
window-186,window-0715,awake,amber,paned grid,none,sheer curtains,none,none,a multi-pane window glowing deep amber behind softly gathered sheer curtains.,no
window-187,window-0273,awake,amber,double-hung,ghoul,pleated shade,holiday decoration|signage,boo!,halloween window decals of monsters and bats silhouetted against a warm pleated shade.,no
window-188,window-0769,awake,brown,double-hung,none,none,sign|signage,chinatown fight club,"a backlit ""chinatown fight club"" sign fills the lower pane of an arched window.",yes
window-189,window-0481,awake,green,other,none,none,neon sign|sign|signage,字典,a cluttered window crammed with chinese-character signage glowing under a green neon outline and pink script.,no
window-190,window-0443,asleep,black,double-hung,none,venetian blinds,figurine,none,a small white horse figurine and other animal figures sit on the sill beneath half-raised blinds and a warm glow.,no
window-191,window-0181,awake,amber,double-hung,none,none,plants,none,small potted succulents and a candle line the sill against a glowing amber interior.,no
window-192,window-0244,awake,gray,double-hung,none,roller shade|sheer curtains,plants,none,a small potted evergreen tree silhouetted against a dim window with a half-drawn shade.,no
window-193,window-0865,awake,teal,double-hung,none,curtains,none,none,"a teal curtain partially drawn across a dim window, with a faint glow leaking through the gap.",no
window-194,window-0881,asleep,gray,casement,none,vertical blinds,figurine,none,a windowsill lined with small figurines beside a glowing blue light element behind vertical blinds.,no
window-195,window-0976,awake,amber,double-hung,none,security,signage,brunson 11,"a white ""brunson 11"" basketball jersey hangs on a hanger glowing against warm amber light.",no
window-196,window-0132,awake,gray,double-hung,none,none,kitchenware|furniture,none,a hazy kitchen interior with a hanging wind chime above cluttered counters seen through a misty double-hung window.,no
window-197,window-0535,awake,gold,storefront,cat,security,neon sign|figurine|signage,none,a large spotted leopard statue sits before a golden gated storefront with a pink neon sign.,yes
window-198,window-0842,awake,amber,paned grid,none,roller shade,lamp|flowers|vase|plants,none,a glowing lamp beside a vase of red flowers creates an intimate warm scene behind a dark paned window.,yes
window-199,window-0496,awake,amber,other,none,sheer curtains|security,none,none,ornate iron security gate with decorative circles silhouetted against softly glowing sheer curtains.,no
window-200,window-0967,awake,brown,paned grid,none,sheer curtains,none,none,butterfly decals scatter across the glass against amber sheer curtains.,no
window-201,window-0524,awake,amber,double-hung,none,none,plants|air conditioner,none,"silhouetted plants against a warm amber glow in the upper sash, with an air conditioner below.",no
window-202,window-0705,awake,amber,double-hung,none,none,flowers|vase|plants,none,"a glass vase of dried flowers sits on the sill against a glowing amber, fogged pane.",no
window-203,window-0805,asleep,blue,double-hung,none,curtains,poster,none,a double-hung window split between cool blue and olive-green curtain panels.,no
