window,id,circadian,color,frame,occupant,treatment,objects,signage,notable,special,master
window-0016,w-026,AWAKE,amber,double-hung,,,,,A bare double-hung window glowing amber with a dark railing silhouetted at the bottom.,,WINDOWSTACK2026_1_115_layers_0026_windows-00793-2.png
window-0017,w-028,AWAKE,red,double-hung,,curtains,plants,,An intense red glow silhouettes a houseplant against the curtained glass.,,WINDOWSTACK2026_1_115_layers_0028_windows-00791.png
window-0018,w-029,AWAKE,red,double-hung,,curtains,,,An intensely saturated red glow fills both panes of a dark double-hung window.,,WINDOWSTACK2026_1_115_layers_0029_windows-00791-2.png
window-0019,w-031,AWAKE,amber,double-hung,,,flowers|plants,flowers|plants,A warm amber glow silhouettes a vase of flowers and clutter on the windowsill.,,WINDOWSTACK2026_1_115_layers_0031_windows-00788.png
window-0020,w-033,AWAKE,brown,double-hung,,sheer curtains,lamp|plants,,A glowing lamp and tangled plant silhouette press against gauzy curtains in warm amber light.,,WINDOWSTACK2026_1_115_layers_0033_windows-00784.png
window-0021,w-034,AWAKE,brown,double-hung,,sheer curtains,lamp,,A blue glowing bug-zapper-style lantern hangs above a small red-lit panel behind sheer curtains.,,WINDOWSTACK2026_1_115_layers_0034_windows-00784-2.png
window-0022,w-035,AWAKE,amber,storefront,,,sign|string lights|signage,MONK,"A vintage boutique window glowing amber under an oval ""MONK"" sign with costumed mannequins.",,WINDOWSTACK2026_1_115_layers_0035_windows-00783.png
window-0023,w-036,ASLEEP,black,storefront,,,neon sign|sign|signage,TRADE Fashion,A blue 'TRADE' neon glows above a dim mannequin display in a dark storefront window.,,WINDOWSTACK2026_1_115_layers_0036_windows-00782.png
window-0024,w-037,AWAKE,green,double-hung,,,plants,,Lush green foliage glows in the lit upper sash above a darkened lower pane.,,WINDOWSTACK2026_1_115_layers_0037_windows-00783-2.png
window-0025,w-038,AWAKE,purple,storefront,,,neon sign|sign|signage,BUY Women's,"A glowing purple ""BUY"" neon sign hovers above a displayed jacket in a dark storefront.",,WINDOWSTACK2026_1_115_layers_0038_windows-00780.png
window-0026,w-039,AWAKE,amber,casement,,venetian blinds,plants,,A spiky plant silhouette presses against the glass beneath warmly glowing amber blinds.,,WINDOWSTACK2026_1_115_layers_0039_windows-00779.png
window-0027,w-040,ASLEEP,black,double-hung,,security,sign|signage,Security Cameras In Use,"A dark, vacant double-hung window guarded by metal bars and a 'Security Cameras In Use' sign.",,WINDOWSTACK2026_1_115_layers_0040_windows-00772.png
window-0028,w-042,AWAKE,amber,double-hung,,venetian blinds,,,A glowing amber double-hung window fully covered by warm venetian blinds.,,WINDOWSTACK2026_1_115_layers_0042_windows-00770.png
window-0029,w-043,ASLEEP,black,double-hung,,curtains,,,A dark double-hung window with pale shapes pressed against the lower pane behind curtains.,,WINDOWSTACK2026_1_115_layers_0043_windows-00768.png
window-0030,w-044,AWAKE,red,double-hung,,frosted glass,,,A glowing red frosted window reveals only the shadowy silhouettes of indistinct objects within.,,WINDOWSTACK2026_1_115_layers_0044_windows-00765.png
window-0031,w-045,AWAKE,amber,double-hung,,lace curtains,plants,,"Ornate lace curtains glow amber, their floral patterns silhouetted against warm interior light.",,WINDOWSTACK2026_1_115_layers_0045_windows-00763.png
window-0032,w-046,AWAKE,amber,paned grid,,lace curtains,plants,,"Ornate lace curtains glow amber, with a hanging plant silhouetted against the warm interior light.",,WINDOWSTACK2026_1_115_layers_0046_windows-00762.png
window-0033,w-047,AWAKE,gray,double-hung,,,plants|grow light|signage,Lenovo,A windowsill garden of potted plants tended under a small clip-on grow light in a dim interior.,,WINDOWSTACK2026_1_115_layers_0047_windows-00739.png
window-0034,w-048,AWAKE,brown,paned grid,,,lamp|ceiling fixture|furniture,,A sculptural articulated pendant lamp dominates a minimalist warm-toned interior behind a black grid window.,,WINDOWSTACK2026_1_115_layers_0048_windows-00738.png
window-0035,w-049,AWAKE,gold,other,,frosted glass,,,A tall frosted-glass panel etched with a golden leaf-and-vine motif glowing softly from within.,,WINDOWSTACK2026_1_115_layers_0049_windows-00736.png
window-0036,w-050,AWAKE,amber,double-hung,,lace curtains,lamp|plants,,Lace curtains with floral patterns frame a warm amber interior lit by a hanging pendant lamp.,,WINDOWSTACK2026_1_115_layers_0050_windows-00730.png
window-0037,w-051,ASLEEP,black,paned grid,,,,,"A dark, unlit paned double-hung window with no visible interior life.",,WINDOWSTACK2026_1_115_layers_0051_windows-00715.png
window-0038,w-053,ASLEEP,brown,double-hung,,,plants,,"A weathered red-and-green painted frame surrounds a dim, near-empty interior with a single small plant on the sill.",,WINDOWSTACK2026_1_115_layers_0053_windows-00712.png
window-0039,w-054,ASLEEP,green,double-hung,,curtains,,,A dark window with patterned green curtains barely catching faint interior light.,,WINDOWSTACK2026_1_115_layers_0054_windows-00708.png
window-0040,w-055,AWAKE,amber,double-hung,,,lamp|plants,,A bare bulb radiates warm starburst light above a windowsill spider plant.,,WINDOWSTACK2026_1_115_layers_0055_windows-00707.png
window-0041,w-056,ASLEEP,brown,double-hung,,curtains,,,A dim brown double-hung window with a pale unidentifiable object resting on the inner sill.,,WINDOWSTACK2026_1_115_layers_0056_windows-00705.png
window-0042,w-057,AWAKE,amber,double-hung,,,plants,,Silhouetted plants crowd against a softly glowing amber pane.,,WINDOWSTACK2026_1_115_layers_0057_windows-00699.png
window-0043,w-058,AWAKE,gray,double-hung,,frosted glass,plants|flowers,,"A small leafy plant and dried flowers sit in a wooden box behind a frosted, foggy double-hung window.",,WINDOWSTACK2026_1_115_layers_0058_windows-00698.png
window-0044,w-059,AWAKE,black,storefront,,,neon sign|signage,FLOWERY,"A colorful neon ""FLOWERY"" sign with glowing flowers floats in a dark storefront window.",,WINDOWSTACK2026_1_115_layers_0059_windows-00691.png
window-0045,w-060,AWAKE,magenta,double-hung,,,sign|figurine|signage,YOGA,An intense magenta glow saturates the window with a faintly readable YOGA sign and a pale figurine inside.,,WINDOWSTACK2026_1_115_layers_0060_windows-00689.png
window-0046,w-061,AWAKE,magenta,double-hung,,,grow light,,An intense magenta grow-light glow floods the window with vivid pink shadows of plants inside.,,WINDOWSTACK2026_1_115_layers_0061_windows-00688.png
window-0047,w-062,AWAKE,pink,other,,stained glass,,,"A diamond-grid stained glass window glowing in shades of pink, magenta, and cream.",,WINDOWSTACK2026_1_115_layers_0062_windows-00687.png
window-0048,w-063,AWAKE,brown,double-hung,,lace curtains,plants,,"A dim warm interior crowded with plants and a monstera, glimpsed through lace curtains.",,WINDOWSTACK2026_1_115_layers_0063_windows-00685.png
window-0049,w-065,AWAKE,white,double-hung,,roller shade,plants,,"A large leafy plant presses against the glass, glowing with a warm light at its base.",,WINDOWSTACK2026_1_115_layers_0065_windows-00682.png
window-0050,w-066,AWAKE,green,double-hung,,,plants,,"A tall spiky dracaena plant fills the dark-framed window, lit by a small interior light.",,WINDOWSTACK2026_1_115_layers_0066_windows-00682-2.png
window-0051,w-067,AWAKE,amber,double-hung,,roller shade,plants,,An aloe plant in a copper pot sits on the sill beneath a half-drawn roller shade.,,WINDOWSTACK2026_1_115_layers_0067_windows-00681.png
window-0052,w-068,AWAKE,brown,double-hung,,roller shade,plants,,A small potted green plant sits on the sill beneath a half-drawn roller shade.,,WINDOWSTACK2026_1_115_layers_0068_windows-00681-2.png
window-0053,w-069,AWAKE,amber,paned grid,,,,,A dark-framed multi-pane window glows with soft amber light revealing a hazy interior and distant cityscape silhouette.,,WINDOWSTACK2026_1_115_layers_0069_windows-00679.png
window-0054,w-070,AWAKE,amber,double-hung,,roller shade,,,A softly glowing amber double-hung window with a paned upper sash and lowered shade.,,WINDOWSTACK2026_1_115_layers_0070_windows-00669.png
window-0055,w-072,AWAKE,amber,paned grid,,frosted glass,,,A nine-pane upper sash over a single frosted lower pane glows softly amber in darkness.,,WINDOWSTACK2026_1_115_layers_0072_windows-00668-2.png
window-0056,w-074,AWAKE,brown,double-hung,,security,plants,,A weathered window with a decorative metal sun ornament and a sagging window box behind an ornate iron railing.,,WINDOWSTACK2026_1_115_layers_0074_windows-00664.png
window-0057,w-076,ASLEEP,black,paned grid,,,,,"A nearly unlit paned window glowing faintly dark green, almost vacant.",,WINDOWSTACK2026_1_115_layers_0076_windows-00661.png
window-0058,w-079,AWAKE,blue,other,,frosted glass,sign|signage,BLUE DOOR DVD,"A frosted, condensation-streaked pane glows blue with a faint ""BLUE DOOR DVD"" sign behind it.",,WINDOWSTACK2026_1_115_layers_0079_windows-00641.png
window-0059,w-080,AWAKE,green,storefront,,,furniture,,A graffiti-covered storefront glass with a mannequin glowing in psychedelic green and orange light.,,WINDOWSTACK2026_1_115_layers_0080_windows-00639.png
window-0060,w-082,AWAKE,blue,double-hung,,roller shade,plants,,A silhouetted plant reaches up against a dusky blue-purple glow behind a double-hung window.,,WINDOWSTACK2026_1_115_layers_0082_windows-00452-2.png
window-0061,w-083,AWAKE,orange,double-hung,cat,curtains,,,A cat sits in silhouette against a glowing amber-orange curtained window.,,WINDOWSTACK2026_1_115_layers_0083_windows-00428.png
window-0062,w-084,AWAKE,amber,other,,venetian blinds,plants,,A silhouetted leafy plant rises against glowing amber venetian blinds.,,WINDOWSTACK2026_1_115_layers_0084_windows-00427.png
window-0063,w-085,AWAKE,amber,double-hung,,,lamp,,A single glowing table lamp warms an otherwise dark double-hung window with amber light.,,WINDOWSTACK2026_1_115_layers_0085_windows-00421.png
window-0064,w-086,ASLEEP,black,other,,roller shade,religious item,,A golden menorah with green candles sits on the sill against a dark interior.,,WINDOWSTACK2026_1_115_layers_0086_windows-00412.png
window-0065,w-087,AWAKE,amber,other,,,plants|framed art,,Silhouetted ZZ plants rise dramatically against a glowing amber interior wall.,,WINDOWSTACK2026_1_115_layers_0087_windows-00408.png
window-0066,w-088,AWAKE,amber,double-hung,,pleated shade,plants|framed art,,A spiky plant silhouette stands dramatically against a glowing amber interior.,,WINDOWSTACK2026_1_115_layers_0088_windows-00407.png
window-0067,w-089,AWAKE,yellow,paned grid,,pleated shade,,,A symmetrical grid of paned glass glows with a uniform warm yellow light behind pleated shades.,,WINDOWSTACK2026_1_115_layers_0089_windows-00404.png
window-0068,w-090,AWAKE,orange,double-hung,,roller shade,figurine,,Two tiny silhouetted figurines stand on the sill against a fiery amber glow.,,WINDOWSTACK2026_1_115_layers_0090_windows-00403.png
window-0069,w-091,AWAKE,orange,arched,,,chandelier,,A glowing chandelier hangs within a tall arched window framed by a dark balustrade.,,WINDOWSTACK2026_1_115_layers_0091_windows-00401.png
window-0070,w-092,AWAKE,purple,double-hung,,sheer curtains,,,A purple-bathed interior glows behind sheer curtains with shadowy silhouetted objects along the sill.,,WINDOWSTACK2026_1_115_layers_0092_windows-00181.png
window-0071,w-093,AWAKE,purple,double-hung,,sheer curtains,lamp,,A purple glow bathes sheer curtains and a softly lit table lamp with a warm pocket of amber light below.,,WINDOWSTACK2026_1_115_layers_0093_windows-00181-2.png
window-0072,w-094,AWAKE,amber,other,,roller shade,plants,,Silhouetted potted plants line the sill below a glowing amber roller shade.,,WINDOWSTACK2026_1_115_layers_0094_windows-00126.png
window-0073,w-095,AWAKE,amber,double-hung,,curtains,flowers|plants,,A row of silhouetted tulips lines the sill against glowing amber curtains.,,WINDOWSTACK2026_1_115_layers_0095_windows-00125.png
window-0074,w-096,AWAKE,amber,double-hung,,roller shade,plants,,Silhouetted plants press against a glowing amber shade behind the double-hung glass.,,WINDOWSTACK2026_1_115_layers_0096_windows-00095-2.png
window-0075,w-097,AWAKE,amber,double-hung,ghoul,roller shade,string lights|holiday decoration,,A glowing jack-o-lantern figure framed by warm string lights fills the lower sash.,yes,WINDOWSTACK2026_1_115_layers_0097_windows-00094.png
window-0076,w-098,AWAKE,orange,double-hung,,roller shade,plants,,A silhouetted monstera plant glows against a warm amber interior light through the lower pane.,,WINDOWSTACK2026_1_115_layers_0098_windows-00092.png
window-0077,w-100,AWAKE,orange,double-hung,ghoul,,plants,,"A silhouetted witch's hat hangs against an amber-orange glow, giving an eerie Halloween feel.",,WINDOWSTACK2026_1_115_layers_0100_windows-00090.png
window-0078,w-101,AWAKE,purple,other,,,neon sign|signage,69,"A glowing pink neon ""69"" floats alone in an otherwise pitch-black frame.",yes,WINDOWSTACK2026_1_115_layers_0101_windows-00054.png
window-0079,w-102,AWAKE,gray,double-hung,,curtains,plants,,Silhouetted plants and hanging baskets cluster behind a half-drawn pale curtain in a dim window.,,WINDOWSTACK2026_1_115_layers_0102_windows-00024.png
window-0080,w-104,AWAKE,amber,other,,,,,An ornate wrought-iron floral grille of trailing wisteria silhouetted against a warm amber glow.,,WINDOWSTACK2026_1_115_layers_0104_windows-00013.png
window-0081,w-105,AWAKE,gray,other,,frosted glass|stained glass,,,A stained glass panel depicting trailing leaves and vines glows softly behind the dark window frame.,,WINDOWSTACK2026_1_115_layers_0105_windows-00013-2.png
window-0082,w-106,AWAKE,gray,other,,security,poster|sign|signage,EXOE,"A barred, graffiti-and-sticker-covered window glowing with cool light behind metal security bars.",,WINDOWSTACK2026_1_115_layers_0106_windows-00012.png
window-0083,w-107,AWAKE,amber,paned grid,,,plants|holiday decoration|string lights|flag,,A lit Christmas wreath crowns a window draped with a Ukrainian flag.,,WINDOWSTACK2026_1_115_layers_0107_windows-00011.png
window-0084,w-108,AWAKE,amber,paned grid,,security|roller shade,string lights|flag|holiday decoration|figurine,,"A festive window crammed with string lights, American and Ukrainian flags, and tiny holiday figurines behind security bars.",,WINDOWSTACK2026_1_115_layers_0108_windows-00010.png
window-0085,w-109,AWAKE,green,double-hung,,curtains,,,An eerie green glow seeps through a draped curtain in a darkened double-hung window.,,WINDOWSTACK2026_1_115_layers_0109_windows-00009.png
window-0086,w-111,AWAKE,gold,arched,,stained glass,religious item,,A stained glass window depicting a robed saint with a halo holding a staff.,,WINDOWSTACK2026_1_115_layers_0111_windows-00008.png
window-0087,w-112,AWAKE,amber,storefront,,frosted glass,ceiling fixture|sign|signage,IMPLANTS 212-221-3691,A dental office window with frosted 'IMPLANTS' lettering and phone number glowing amber at night.,,WINDOWSTACK2026_1_115_layers_0112_windows-00006.png
window-0088,w-113,AWAKE,white,storefront,,,sign|ceiling fixture|signage,si dental c,A large white tooth model hangs in a dental office window beneath illuminated signage.,,WINDOWSTACK2026_1_115_layers_0113_windows-00005.png
window-0089,w-114,AWAKE,blue,other,,,open sign|neon sign|poster|sign|signage|spa,OPEN 2nd FLOOR,A backlit massage-parlor advertisement with a glowing neon-style OPEN sign and a 2nd floor directional.,,WINDOWSTACK2026_2_0000_windows-01154-3.png
window-0090,w-115,AWAKE,black,double-hung,,,neon sign|string lights|signage|spa,Massage,"A glowing LED ""Massage"" sign framed by white string lights in a dark double-hung window.",,WINDOWSTACK2026_2_0001_windows-01154-2.png
window-0091,w-116,AWAKE,brown,paned grid,,frosted glass,,,"Three panes of textured frosted glass glow with a dim amber light, marred by cracks and shadowy stains.",,WINDOWSTACK2026_2_0002_windows-01152.png
window-0092,w-117,AWAKE,red,double-hung,,roller shade,neon sign|signage,Psychic Readings,"A glowing red neon ""Psychic Readings"" sign fills the lower sash beneath a drawn shade.",,WINDOWSTACK2026_2_0003_windows-01149.png
window-0093,w-118,AWAKE,orange,double-hung,,venetian blinds,lamp|poster|books|signage,RANCE,Warm amber light glows through venetian blinds onto a desk with a lamp and framed posters.,,WINDOWSTACK2026_2_0004_windows-01146.png
window-0094,w-119,AWAKE,blue,double-hung,,,open sign|neon sign|sign|signage|spa,OPEN Grace Spa Bodywork & Foot Rub 347-318-8866 Open 7 Days 10am-10pm,A multicolored OPEN neon sign glows above a Grace Spa placard in a deep blue window.,,WINDOWSTACK2026_2_0005_windows-01142.png
window-0095,w-121,AWAKE,white,double-hung,,frosted glass,,,A dark boxy silhouette looms behind frosted glass glowing with warm interior light.,,WINDOWSTACK2026_2_0007_windows-01138.png
window-0096,w-123,AWAKE,brown,double-hung,,sheer curtains,poster|vase|signage,ZOHRAN FOR MAYOR YOU CAN AFFORD,A campaign poster for mayoral candidate Zohran sits behind sheer curtains beside two small vases.,,WINDOWSTACK2026_2_0009_windows-01111.png
window-0097,w-125,AWAKE,orange,double-hung,ghoul,,plants|neon sign|signage,,A glowing white ghost-shaped neon sits below a silhouetted hanging plant against a warm amber interior.,,WINDOWSTACK2026_2_0011_windows-01071.png
window-0098,w-126,AWAKE,amber,double-hung,ghoul,,neon sign|flowers|plants|signage,,A glowing white ghost-shaped neon light floats in a warm amber window.,,WINDOWSTACK2026_2_0012_windows-01070.png
window-0099,w-128,AWAKE,black,double-hung,,roller shade,plants,,Silhouetted potted plants line a sill against a glowing amber interior beneath a half-drawn shade.,,WINDOWSTACK2026_2_0014_windows-01067.png
window-0100,w-130,AWAKE,amber,other,,stained glass,,,A geometric stained-glass window glowing amber and green behind a diamond-patterned grille.,,WINDOWSTACK2026_2_0016_windows-01004.png
window-0101,w-131,AWAKE,amber,double-hung,,sheer curtains,figurine,,A small statuette of a standing male figure silhouetted against the softly glowing curtain.,,WINDOWSTACK2026_2_0017_windows-00989.png
window-0102,w-134,AWAKE,white,double-hung,,curtains,,,A softly lit curtained double-hung window with a dark angular object resting on the lower sill.,,WINDOWSTACK2026_2_0020_windows-00987-2.png
window-0103,w-135,ASLEEP,brown,double-hung,owl,,,,"An owl sits in silhouette behind the dim glass, gazing into the darkened room.",,WINDOWSTACK2026_2_0021_windows-00986.png
window-0104,w-136,AWAKE,white,double-hung,,roller shade,,,A dark-framed double-hung window with pale horizontal shades softly lit from within.,,WINDOWSTACK2026_2_0022_windows-00985.png
window-0105,w-137,AWAKE,orange,double-hung,,sheer curtains,plants,,Silhouetted plants stand against a glowing red-orange interior wall.,,WINDOWSTACK2026_2_0023_windows-00984.png
window-0106,w-138,AWAKE,white,other,,sheer curtains,sign|signage,PERSONAL TRAINING PHYSICAL THERAPY PODIATRY AESTHETICS,A frosted decal of a running figure sits below a backlit gym-services sign.,,WINDOWSTACK2026_2_0024_windows-00983.png
window-0107,w-139,AWAKE,white,double-hung,,sheer curtains,sign|signage|spa,SPORTS MEDICINE ACUPUNCTURE CHIROPRACTIC LASER SPA,A white silhouette of a running figure decal sits below a backlit medical spa sign.,,WINDOWSTACK2026_2_0025_windows-00982.png
window-0108,w-140,AWAKE,brown,double-hung,,,framed art|poster|signage,THIS IS A WONDERFUL,"A dim warm interior with framed posters, one reading ""THIS IS A WONDERFUL.""",,WINDOWSTACK2026_2_0026_windows-00981.png
window-0109,w-142,AWAKE,amber,arched,,curtains,string lights,,A curtain draped with cascading warm fairy lights glows behind an arched window.,,WINDOWSTACK2026_2_0028_windows-00979.png
window-0110,w-144,AWAKE,amber,paned grid,,security,string lights,,A dark diamond-mesh grille covers a multi-paned window glowing amber with scattered warm lights behind it.,,WINDOWSTACK2026_2_0030_windows-00977.png
window-0111,w-145,AWAKE,amber,paned grid,,roller shade,string lights,,"String lights trace the edges of every pane behind a drawn shade, glowing warm amber.",,WINDOWSTACK2026_2_0031_windows-00975.png
window-0112,w-146,AWAKE,green,paned grid,,,string lights|holiday decoration,,A decorated Christmas tree with twinkling lights and a gnome figurine fills the paned window.,,WINDOWSTACK2026_2_0032_windows-00972.png
window-0113,w-147,AWAKE,amber,paned grid,,security,lamp|plants|bottle,,A glowing pendant lamp and red drapery seen through ornate security bars above a dark tangle of foliage.,,WINDOWSTACK2026_2_0033_windows-00970.png
window-0114,w-148,AWAKE,black,double-hung,,frosted glass,jar,,"Pale ceramic pots cluster on a shelf behind misty, condensation-fogged glass.",,WINDOWSTACK2026_2_0034_windows-00969.png
window-0115,w-152,AWAKE,red,double-hung,,roller shade,,,A muted gray upper pane sits above a glowing band of deep red light in the lower sash.,,WINDOWSTACK2026_2_0038_windows-00967-2.png
window-0116,w-153,AWAKE,amber,double-hung,,security|sheer curtains,,,An ornate wrought-iron security gate with scrollwork covers a softly glowing curtained window.,,WINDOWSTACK2026_2_0039_windows-00965.png
window-0117,w-154,AWAKE,amber,double-hung,,sheer curtains,string lights|holiday decoration,,A glowing Christmas tree shimmers behind a hazy sheer-covered window.,,WINDOWSTACK2026_2_0040_windows-00965-2.png
window-0118,w-155,AWAKE,gray,other,,vertical blinds,,,"Pale vertical blinds glow softly behind a dark frame, with a faint red sliver at the top.",,WINDOWSTACK2026_2_0041_windows-00963.png
window-0119,w-156,AWAKE,amber,double-hung,,curtains,figurine,,Warm amber light glows through the gap between two dark draped curtains.,,WINDOWSTACK2026_2_0042_windows-00962.png
window-0120,w-159,AWAKE,brown,double-hung,,roller shade,,,A silhouetted reindeer figurine stands beside a round ornament against a softly glowing amber shade.,,WINDOWSTACK2026_2_0045_windows-00961.png
window-0121,w-160,AWAKE,brown,double-hung,,,figurine,,A silhouetted gnome figurine sits on the sill against a soft sepia glow.,,WINDOWSTACK2026_2_0046_windows-00961-2.png
window-0122,w-161,AWAKE,blue,double-hung,,,neon sign|signage,,A glowing neon Ukrainian trident over blue-and-yellow colors fills the upper pane.,,WINDOWSTACK2026_2_0047_windows-00956.png
window-0123,w-162,AWAKE,blue,other,,,poster|sign|signage,Hottie Lash,"An illuminated eyelash-salon lightbox sign featuring a giant close-up eye and the words ""Hottie Lash.""",yes,WINDOWSTACK2026_2_0048_windows-00951.png
window-0124,w-164,AWAKE,blue,other,,,sign|poster|signage,Hottie Lash East Village First time 20% off,An illuminated eyelash-salon advertising lightbox showing close-up eyes and lashes.,,WINDOWSTACK2026_2_0050_windows-00949.png
window-0125,w-165,AWAKE,white,other,,,poster,,Two large backlit photographs of a heavily lashed eye fill the dark window frame.,yes,WINDOWSTACK2026_2_0051_windows-00949-3.png
window-0126,w-166,AWAKE,blue,storefront,,,poster|sign|signage,Hottie Lash,A blue-toned eyelash salon display showing rows of close-up eyes beneath a glowing logo.,,WINDOWSTACK2026_2_0052_windows-00949-2.png
window-0127,w-167,AWAKE,amber,paned grid,,,vase|ceiling fixture,,A celadon-green ceramic vase displayed on a stand glows in a warm amber gallery-like interior.,,WINDOWSTACK2026_2_0053_windows-00943.png
window-0128,w-168,AWAKE,amber,double-hung,,frosted glass,bottle,,"Frosted glass reduces backlit objects to ghostly silhouettes, one glowing green, against a warm amber haze.",,WINDOWSTACK2026_2_0054_windows-00943-2.png
window-0129,w-169,AWAKE,amber,double-hung,,frosted glass,plants,,"Ghostly silhouettes of plants press against fogged, amber-stained glass like a faded painting.",,WINDOWSTACK2026_2_0055_windows-00942.png
window-0130,w-170,ASLEEP,brown,paned grid,,sheer curtains,plants,,A dim multi-paned window framed by dried vines with potted plants lined up on an interior shelf.,,WINDOWSTACK2026_2_0056_windows-00941.png
window-0131,w-171,AWAKE,blue,double-hung,,curtains,,,Purple and electric blue light glows through gauzy curtains in a darkened double-hung window.,,WINDOWSTACK2026_2_0057_windows-00940.png
window-0132,w-172,AWAKE,gray,double-hung,,,kitchenware|furniture,,A hazy kitchen interior with a hanging wind chime above cluttered counters seen through a misty double-hung window.,,WINDOWSTACK2026_2_0058_windows-00939.png
window-0133,w-173,AWAKE,brown,paned grid,,sheer curtains,mirror|plants,,A silhouetted Christmas tree sits behind sheer gathered curtains beside an ornate round mirror.,,WINDOWSTACK2026_2_0059_windows-00939-2.png
window-0134,w-174,AWAKE,brown,double-hung,,,bottle|plants,,A row of colorful glass bottles silhouetted on the sill above a shadowy potted plant.,,WINDOWSTACK2026_2_0060_windows-00925.png
window-0135,w-176,AWAKE,black,double-hung,,,bottle|plants,,A row of backlit colored glass bottles glows warmly on the upper shelf of a dark window.,,WINDOWSTACK2026_2_0062_windows-00924.png
window-0136,w-177,AWAKE,brown,double-hung,,security,,,A ghostly bright teal-blue glowing form hovers behind the upper sash like an apparition.,,WINDOWSTACK2026_2_0063_windows-00923.png
window-0137,w-178,AWAKE,teal,other,,sheer curtains,open sign|neon sign|signage,OPEN,A neon palm flanked by two yellow stars glows above an OPEN sign in a teal-tinted window.,yes,WINDOWSTACK2026_2_0064_windows-00922.png
window-0138,w-180,ASLEEP,brown,double-hung,,,plants|poster,,A child's rainbow drawing glows in the upper pane above shadowy potted plants.,,WINDOWSTACK2026_2_0066_windows-00922-2.png
window-0139,w-182,AWAKE,amber,double-hung,,roller shade|curtains,lamp|flowers|plants,,A glowing bare bulb beside a cluster of warm-lit flowers in a white double-hung window.,,WINDOWSTACK2026_2_0068_windows-00921-2.png
window-0140,w-184,ASLEEP,black,double-hung,,roller shade|curtains,,,A dim double-hung window with a half-drawn shade above and a tied-back pale curtain below.,,WINDOWSTACK2026_2_0070_windows-00917.png
window-0141,w-187,AWAKE,teal,double-hung,,roller shade,,,Crinkled plastic sheeting catches light in the lower pane of a dim teal-glowing window.,,WINDOWSTACK2026_2_0073_windows-00913.png
window-0142,w-188,AWAKE,pink,paned grid,,lace curtains,,,Lace curtains topped with a draped garland diffuse a soft pinkish interior glow.,,WINDOWSTACK2026_2_0074_windows-00912.png
